Release_Date,Title,Overview,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,Poster_Url
06-02-2018,Accident Man,"Mike Fallon, the Accident Man, is a stone cold killer.  When a loved one is murdered by his own crew, Fallon is forced to avenge the one person who actually meant something to him.",27.105,323,6,en,"Action, Crime, Thriller",https://image.tmdb.org/t/p/original/bHFKej3Dbr8kGRSRHpkoFHq9TJQ.jpg
17-12-2010,The Fighter,"Boxer ""Irish"" Micky Ward's unlikely road to the world light welterweight title. His Rocky-like rise was shepherded by half-brother Dicky, a boxer-turned-trainer who rebounded in life after nearly being KO'd by drugs and crime.",27.101,3521,7.4,en,Drama,https://image.tmdb.org/t/p/original/jcQYWWi2y1vNsGlJJ2jNcFq0y1n.jpg
04-11-2010,Unstoppable,"A runaway train, transporting deadly, toxic chemicals, is barreling down on Stanton, Pennsylvania,  and proves to be unstoppable until a veteran engineer and young conductor risk their lives to try and stop it with a switch engine.",27.083,2805,6.5,en,"Action, Thriller",https://image.tmdb.org/t/p/original/zKvHwL0GqLOear8rTnUPSTRYY0r.jpg
20-11-2020,Stand by Me Doraemon 2,"She and her beloved Shizuka are finally married! Nobita's childhood dream was supposed to come true on his wedding day, but for some reason, Nobita doesn't show up... One of the most popular episodes from the original story transcends time and space, and leads to Nobita's future. Doraemon and Nobita's great adventure begins in order to fulfill his grandmother's wish to see his bride at first sight. This is a story of tears and bonds, set in the past, present and future.",27.08,94,7.6,ja,"Animation, Family, Science Fiction",https://image.tmdb.org/t/p/original/pUFWMPUWqy4K0sF6dfEuie2kOgZ.jpg
04-03-2000,One Piece: The Movie,"There once was a pirate known as the Great Gold Pirate Woonan, who obtained almost one-third of the world's gold. Over the course of a few years, the pirate's existence faded, and a legend grew that he disappeared with his gold to a remote island, an island pirates continue to search for. Aboard the Going Merry, Luffy and his crew, starved and reckless, are robbed of their treasure. In an attempt to get it back, they wreck the getaway ship, guided by a young boy named Tobio, who's a captured part of El Drago's pirate crew. El Drago's love for gold has driven him to look for Woonan's island, and thanks to Woonan's treasure map, he finds it. During this time, Luffy's crew have been split up, and despite their own circumstances, they must find a way to stop El Drago from obtaining Woonan's gold.",27.072,212,6.8,ja,"Action, Animation, Adventure, Comedy, Fantasy",https://image.tmdb.org/t/p/original/6QOrTYafoqzXPWLnR2K8129jTHH.jpg
22-11-2019,The Courier,"This intense action-thriller unfolds in real time as two embattled souls fight for their lives. Gary Oldman stars as a vicious crime boss out to kill Nick, the lone witness set to testify against him. He hires a mysterious female motorcycle courier to unknowingly deliver a poison-gas bomb to slay Nick, but after she rescues Nick from certain death, the duo must confront an army of ruthless hired killers in order to survive the night.",27.07,422,6.1,en,"Crime, Action, Drama, Thriller",https://image.tmdb.org/t/p/original/cmC7bJZ5sCzx9ZsrlXOrYJfYtLc.jpg
10-08-2016,Pete's Dragon,"For years, old wood carver Mr. Meacham has delighted local children with his tales of the fierce dragon that resides deep in the woods of the Pacific Northwest. To his daughter, Grace, who works as a forest ranger, these stories are little more than tall tales... until she meets Pete, a mysterious 10-year-old with no family and no home who claims to live in the woods with a giant, green dragon named Elliott. And from Pete's descriptions, Elliott seems remarkably similar to the dragon from Mr. Meacham's stories. With the help of Natalie, an 11-year-old girl whose father Jack owns the local lumber mill, Grace sets out to determine where Pete came from, where he belongs, and the truth about this dragon.",27.067,1875,6.4,en,"Adventure, Family, Fantasy",https://image.tmdb.org/t/p/original/6TwrPngfpbwtVH6UsDfVNUnn3ms.jpg
04-05-2016,Tini: The New Life of Violetta,A teen star ventures out to the Italian countryside for a summer and emerges a new artist.,27.063,323,7.3,es,"Comedy, Drama, Music",https://image.tmdb.org/t/p/original/iH1d41fxNGPZ53kvQ6GRUFNwp0F.jpg
27-01-2001,Recess: School's Out,"It's the most exciting time of year at Third Street Elementary-- the end of the School Year! But boredom quickly sets in for protagonist TJ Detweiler, as his friends are headed for Summer Camp. One day, while passing by the school on his bike, he notices a green glow coming from the school's auditorium. This is the work of the insidious ex-principal of Third Street, Phillium Benedict and his gang of ninjas and secret service look-alikes! Benedict is planning to get rid of Summer Vacation using his newly-acquired Tractor Beam, which he stole from the US Military Base in an effort to raise US Test Scores, and it's up to the Recess Gang to stop him!",27.049,263,6.5,en,"Science Fiction, Family, Comedy, Animation",https://image.tmdb.org/t/p/original/yLdsXdgB2VJ2uBQvYaEB5xPELlq.jpg
12-10-2007,Twitches Too,"Reunited witch twins Camryn and Alex adjust to their new life as supernatural beings while at the same time trying to maintain a normal existence in this sequel to the magical Disney Channel original movie Twitches. But they soon find themselves going head to head with the forces of darkness that threaten to destroy their world. Luckily, their birth mother, the powerful Miranda, is on hand to help out.",27.047,275,6.8,en,"Drama, Family, Fantasy, TV Movie",https://image.tmdb.org/t/p/original/70aurzbqFMuJnwhIVW2aXeyzBAp.jpg
